,No.,Creator,Label,Question,Answer,Question_Encoded
0,1,Thiện,CN,"Em yêu thích công nghệ thông tin, nhưng em thấy mình không đủ năng lực thi vào các trường lớn. Vậy em nên nộp đơn vào trường nào?","Em nên nhớ là học sinh sẽ được nộp đơn sau khi tham dự Kỳ thi trung học phổ thông Quốc gia. Em vẫn còn rất nhiều lựa chọn và vẫn có thể tự quyết khi biết điểm của mình. Một số lựa chọn em cần lưu tâm là Đại học Công nghiệp, ĐH FPT, ĐH Công Nghệ Thông Tin, ĐH Bách Khoa,… Bên cạnh đó còn Bách Khoa Aptech, Arena (chủ yếu về thiết kế đồ họa). Học ở trường top dưới em sẽ cần phải nỗ lực hơn và cơ hội để em phát triển vẫn còn rất nhiều.",373
1,2,Thiện,CN,"Học CNTT có cần giỏi tin và toán không? Em học không tốt 2 môn này nhưng rất thích tìm tòi các thứ về máy tính, web hay game.","Không có 1 tiêu chuẩn nào cho 1 người là dân IT hết tuy nhiên em cần biết học IT có rất nhiều thuật toán, có những kiến thức khá trừu tượng đòi hỏi em phải có tư duy tốt. Tư duy logic và cái nhìn bao quát là hai yếu tố quan trọng quyết định việc em có thành công với ngành nghề này hay không. Mà em có tìm hiểu nhiều về máy tính nên có thể thấy em chỉ không giỏi các thuật toán còn các vấn đề về máy tính hẳn em cũng thông thạo. Có rất nhiều công việc mà em ít phải dùng đến các thuật toán như: Thiết kế web, Thiết kế đồ họa, Kỹ sư mạng, Thương mại điện tử,… Đó là những ngành học mà em hoàn toàn có thể theo đuổi.",425
2,3,Thiện,CN,"Học CN có vất lắm không, em thấy các anh chị kêu lắm.","Học CN vất với những người lười, không có đam mê. Học CN không vất với những ai thực sự yêu thích và đam mê với nó. Nếu em xác định theo đuổi ngành này, hãy xác định rằng sẽ phải hi sinh nhiều cho nó, dành nhiều thời gian cho nó thì em mới có thể thành công. Nhưng mà thực sự rất vất đấy =)). Kỹ thuật, y, dược không nhàn được đâu em.",423
3,4,Thiện,Chung,Có cần ngoại ngữ không ?,Khi học ở FPT thì việc này vô cùng quan trọng. Vì bạn sẽ được hướng nghiệp thành kĩ sư toàn cầu. Và tất cả các giáo trình tại FPT 100% bằng tiếng Anh. Cho nên ngoại ngữ(cụ thể là tiếng anh) là vô cùng quan trọng,246
4,5,Thiện,Chung,Vậy có cần học tiếng anh trước khi vào trường không ?,Có 6 level tiếng Anh. Trước khi vào trường bạn sẽ  được kiểm tra trình độ tiếng Anh và phân lớp phù hợp với khả năng. (Nhưng nếu bạn đã có ielts 6.5 trở lên thì bạn sẽ không cần học tiếng anh chuẩn bị và sẽ được sắp vào chuyên ngành từ kì đầu tiên).,793
5,6,Thiện,Chung,Học phí tiếng anh là bao nhiêu ?,Học phí tiếng Anh đầu vào là 11.900.000 cho một level (Kì FA23 lên học phí),434
6,7,Thiện,CN,Học CN cần giỏi những môn nào là chủ yếu ?,"Bạn cần giỏi những môn về tư duy như Toán, Phân tích và đặc biệt là Lập Trình. Cùng với đó là các môn kĩ năng mềm, các môn học về ngôn ngữ cũng là một phần không thể thiếu",424
7,8,Thiện,Chung,Em muốn học AI tại FPT nhưng năng lực em cảm giác là không đủ để đáp ứng học AI tại FPT thì sao ạ ?,"Bạn có thể lựa chọn một số ngành khác tại FPT, chúng tôi có có bài trắc nghiệm có thể giúp bạn tham khảo xem bạn phù hợp với ngành nào. [bài trắc nghiệm kiểm tra bạn phù hợp với ngành nào: https://huongnghiep.fpt.edu.vn/trac-nghiem-nghe-nghiep/]. Đây là bài trắc nghiệm nghề nghiệp do Tiến sĩ tâm lý John Holland thiết kế được sử dụng rộng rãi nhất trên toàn thế giới. Để có thể xác định nghề nghiệp và ngành học một cách chính xác và khách quan nhất. Hãy cân nhắc thật kỹ và trả lời trung thực từng câu hỏi bằng cách chọn một câu trả lời duy nhất mô tả đúng nhất về bạn. [Lưu ý: đây có thể chỉ mang tính chất tham khảo bạn không thể hoàn toàn dựa vào kết quả này]",362
8,9,Thiện,Chung,Sau khi học FPT em có những gì đặc biệt để so sánh với các bạn học trường khác hay không ?,"Chúng tôi không chắc đúng ý với bạn muốn không. Khi học tại đây bạn sẽ được phát triển mạnh về các kĩ năng tự học, kĩ năng giao tiếp,... Đây là những điều thiết yếu mà chúng tôi nghĩ sẽ giúp bạn sẽ thành công trong tương lai",591
9,10,Thiện,Chung,Các kiến thức mà em học được tại FPT có thể dùng lâu dài trong sự nghiệp tương lai không ?,"Kiến thức ngày nay vô cùng sâu rộng và luôn phát triển nhanh chóng qua từng ngày, bạn có thể biết được vài kiến thức trong hôm nay nhưng lượng kiến thức đấy sẽ có thể bị ""lỗi thời"" ngay trong hôm sau. Để khắc phục tình trạng đấy, thì chúng tôi sẽ sẽ dạy cho bạn các kĩ năng tự học, kĩ năng giao tiếp,...Các kĩ năng này sẽ giúp bạn có thể tồn tại được trong một xã hội phát triển rất nhanh như hiện nay. ""Một cần câu sẽ tốt hơn trăm con cá""",103
10,11,Thiện,Chung,Ngành CN tại trường gồm có những chuyên ngành nào?,"Ngành CN tại Đại Học FPT gồm có các chuyên ngành như: Kĩ Thuật Phần Mềm, Trí Tuệ Nhân Tạo(AI), An Toàn Thông, Hệ Thống Thông Tin",529
11,12,Thiện,Chung,Ngoài ngành CN thì còn những ngành nào ?,"Ngoài ngành CN Đại Học FPT có các ngành khác như: Kinh Doanh Quốc Tế, CN, Digital Maketing, Truyền Thông Đa Phương Tiện, Thiết Kế Mĩ Thuật Số, Quản Trị Nhà Hàng - Khách Sạn, Ngành Ngôn Ngữ (Nhật, Hàn, Trung)",523
12,13,Thiện,CN,Em được tư vấn học AI ? Nhưng không biết đây là ngành gì ?,"Trí tuệ nhân tạo (AI) là một lĩnh vực của khoa học máy tính trong đó trí thông minh của máy tính được tạo ra bởi con người với mục tiêu giúp máy tính có được hành vi thông minh giống con người. Ngày nay, trí tuệ nhân tạo được sử dụng rộng rãi cho các ứng dụng khác nhau như thị giác máy tính, nhận dạng giọng nói, ra quyết định, nhận thức, lý luận.",386
13,14,Thiện,CN,Trong tương lai sẽ làm nghề gì khi học ngành AI ?,"Kỹ sư phát triển ứng dụng AI, Kỹ sư phát triển hệ thống tự động hóa, robot, Kiến trúc sư dữ liệu, Chuyên gia nghiên cứu chuyên sâu về trí tuệ nhân tạo",662
14,15,Thiện,CN,Định hướng của trường trong việc đào tạo ngành AI là gì,"Trong bối cảnh Cách mạng Công nghiệp 4.0 phát triển không ngừng, Trí tuệ Nhân tạo là lĩnh vực quan trọng. Sinh viên ngành Trí tuệ Nhân tạo là nhân tố ưu tú được các nhà tuyển dụng săn đón với mức lương lý tưởng.
Cử nhân ngành Trí tuệ Nhân tạo làm việc tại Trung tâm phát triển Trí tuệ Nhân tạo; Trung tâm điều tra, khảo sát, phân tích/xử lý dữ liệu lớn của các Tập đoàn công nghệ, Ngân hàng; Viện nghiên cứu về Trí tuệ nhân tạo, các doanh nghiệp với đa dạng vị trí: Chuyên viên phát triển ứng dụng AI; Chuyên gia dữ liệu; Chuyên gia xử lý hình ảnh; Chuyên viên quản trị dữ liệu lớn; Chuyên viên phân tích hệ thống; Kỹ sư phát triển hệ thống tự động hóa, Robot. Ngoài ra, sinh viên Khởi nghiệp trong lĩnh vực cung cấp, phát triển các chương trình/giải pháp phân tích dữ liệu và ứng dụng Trí tuệ Nhân tạo trong cuộc sống.",932
15,16,Thiện,CN,FPT có lộ trình đào tạo gì khác biệt với các trường khác không ?,"Chương trình được xây dựng theo chuẩn học thuật quốc tế: ACM, ACBSP, CDIO và đã được kiểm định quốc gia, quốc tế. Đại học FPT sử dụng giáo trình toàn cầu, cập nhật xu hướng quốc tế. Sinh viên đạt trình độ tiếng Anh tối thiểu tương đương IELTS 6.0 trước khi bước vào các Học kỳ chuyên ngành, Học kỳ đào tạo trong doanh nghiệp. 100% sinh viên được đào tạo Tiếng Nhật song song với Tiếng Anh. Đội ngũ Giảng viên có kinh nghiệm và chuyên môn cao với trình độ Tiến sĩ, Thạc sĩ. Định hướng “Industry Relevant”, sinh viên được đào tạo trong doanh nghiệp, hướng dẫn bởi các chuyên gia hàng đầu. Lãnh đạo ưu tú của các doanh nghiệp trong lĩnh vực Trí tuệ Nhân tạo là diễn giả trong các hội thảo, cố vấn trong các cuộc thi tại Đại học FPT. 100% sinh viên tham gia Học kỳ đào tạo trong doanh nghiệp và thực hiện Khoá luận tốt nghiệp",412
16,17,Thiện,CN,Học tại FPT bao lâu thì tốt nghiệp ngành AI ?,Theo tiêu chuẩn thì sinh viên sẽ được đào tạo từ 3 năm trở lên (ít hay nhiều do khả năng mỗi bạn),438
17,18,Thiện,CN,Mô tả sơ về các giai đoạn đào tạo qua các năm ,"- Giai đoạn đầu: Sv sẽ được đào tạo nền tảng. 
- Giai đoạn kế là giai đoạn đào cơ sở ngành. 
- Giai đoạn thứ 3 sẽ là gia đoạn SV được đào tạo trong doanh nghiệp. 
- Giai đoạn cuối các bạn sẽ được đào tạo về chuyên ngành hẹp cùng với đó là khóa luận tốt nghiệp",504
